product_no,product_name,product_type,weight_g,labor_fee,margin_rate
13747570825,[이스투아] 24K 순금 한돈 사각 큐브 컷팅 반지 3.75g 데일리 심플,순금,3.75,50000.0,0.065
13745312731,[이스투아] 24K 순금 한돈 행운의 물고기 컷팅볼 두줄 반지 3.75g,순금,3.75,45000.0,0.065
13738822883,[이스투아] 14K 18K 클래식 밀그레인 레이어드 큐빅 랩다이아 가드링,14K/18K,2.06,45000.0,0.1
13738797643,[이스투아] 14K 18K 클래식 밀그레인 큐빅 랩다이아 커플링,14K/18K,2.06,55000.0,0.18
13733812811,[이스투아] 14K 18K 링크 스퀘어 투웨이 팔찌,14K/18K,10.96,65000.0,0.2
13729606299,[이스투아] 14K 18K 꼬냑SV 라운드 심플 실팔찌 레이어드,14K/18K,1.63,55000.0,0.23
13728339780,[이스투아] 14K 18K 티어드롭 큐빅 골드볼 반지,14K/18K,2.32,55000.0,0.2
13725059058,[이스투아] 14K 18K 골드볼 라운드 스터드 귀걸이,14K/18K,1.91,45000.0,0.12
13724043683,[이스투아] 14K 18K 사각 큐빅 스터드 귀걸이,14K/18K,1.56,45000.0,0.1
13723187717,[이스투아] 14K 18K 스퀘어 큐빅 밴드 커플링,14K/18K,2.72,55000.0,0.17
13722144551,[이스투아] 14K 18K 사선 컷팅 슬림 밴드 커플링,14K/18K,3.05,65000.0,0.1
13720172310,[이스투아] 14K 18K 골든볼 링 포인트 체인 목걸이,14K/18K,3.95,60000.0,0.14
13719228571,[이스투아] 14K 18K 원통형 큐빅 펜던트 목걸이,14K/18K,2.24,55000.0,0.25
13718766165,[이스투아] 14K 18K 진주 롱 체인 드롭 귀걸이,14K/18K,2.97,60000.0,0.15
13717548761,[이스투아] 14K 18K 듀오 볼 포인트 체인 팔찌,14K/18K,2.96,60000.0,0.25
13715611521,[이스투아] 한국올림픽금거래소 24K 99.9% 3.75g (한돈) 골드바 순금바 순금 투자형 금테크 상견례 금선물,순금,3.75,15000.0,0.01
13700951717,[이스투아] 한국올림픽금거래소 24K 순금 99.9% 37.5g (열돈) 골드바 순금바 순금 투자형 금테크 상견례 금선물,순금,37.5,45000.0,0.01
13695094362,[이스투아] 24K 순금 99.9% 꽃다발 케이크 골드바 부모님 생일 어버이날 환갑 칠순 돌선물 기념일,순금,0.2,20000.0,0.1
13682572943,[이스투아] 14K 18K 리오라 스테이션 목걸이,14K/18K,2.42,45000.0,0.25
